Period_ID,Year,Half,Period_Type,Service_Revenue,Service_Revenue_Flag,EBITDA,EBITDA_Flag,EBITDA_Margin_Pct,EBITDA_Margin_Flag,PAT,PAT_Flag,EPS_GHS,EPS_Flag,Dividend_Per_Share_GHS,Dividend_Flag
2020H1,2020,H1,Half,2970,R,1615,R,52.9,R,645,R,0.0489,R,0.04,R
2020H2,2020,H2,Half,3460,R,1905,R,53.4,R,815,R,0.0619,R,0.08,R
2021H1,2021,H1,Half,4135,R,2280,R,53.8,R,1025,R,0.0778,R,0.045,R
2021H2,2021,H2,Half,4865,R,2720,R,54.3,R,1255,R,0.0952,R,0.092,R
2022H1,2022,H1,Half,5875,R,3345,R,55.6,R,1580,R,0.1199,R,0.055,R
2022H2,2022,H2,Half,7125,R,4055,R,55.8,R,1985,R,0.1506,R,0.114,R
2023H1,2023,H1,Half,7800,R,4395,R,55.6,R,2155,R,0.1635,R,0.06,R
2023H2,2023,H2,Half,10100,R,5755,R,55.7,R,2845,R,0.216,R,0.125,R
2024H1,2024,H1,Half,10385,R,5895,R,55.5,R,2960,R,0.2247,R,0.065,R
2024H2,2024,H2,Half,13515,R,7705,R,56.5,R,3885,R,0.2949,R,0.255,R
2025H1,2025,H1,Half,11300,R,6600,R,58.4,R,3600,R,0.2733,R,0.08,R
2025H2,2025,H2,Half,13100,R,8100,R,61.2,R,4200,R,0.319,R,0.4,R
