Period_ID,Year,Quarter,Data_Revenue,Data_Flag,Voice_Revenue,Voice_Flag,MoMo_Revenue,MoMo_Flag,Digital_Revenue,Digital_Flag,SMS_Revenue,SMS_Flag,Roaming_Wholesale_Other,Other_Flag
2020Q1,2020,Q1,460,I,635,I,210,I,12,I,55,I,78,I
2020Q2,2020,Q2,495,I,655,I,232,I,14,I,55,I,69,I
2020Q3,2020,Q3,545,I,690,I,265,I,16,I,55,I,64,I
2020Q4,2020,Q4,625,I,745,I,310,I,19,I,55,I,71,I
2021Q1,2021,Q1,710,I,790,I,365,I,22,I,52,I,46,I
2021Q2,2021,Q2,790,I,820,I,420,I,26,I,52,I,42,I
2021Q3,2021,Q3,865,I,855,I,470,I,30,I,52,I,18,I
2021Q4,2021,Q4,1010,I,930,I,545,I,36,I,52,I,2,I
2022Q1,2022,Q1,1190,I,985,I,580,I,42,I,50,I,-22,I
2022Q2,2022,Q2,1305,I,1015,I,650,I,48,I,50,I,-18,I
2022Q3,2022,Q3,1450,I,1055,I,725,I,54,I,50,I,-14,I
2022Q4,2022,Q4,1715,I,1130,I,855,I,65,I,50,I,-10,I
2023Q1,2023,Q1,1685,I,995,I,915,I,75,I,46,I,9,I
2023Q2,2023,Q2,1870,I,1030,I,1015,I,85,I,46,I,29,I
2023Q3,2023,Q3,2105,I,1070,I,1145,I,96,I,46,I,58,I
2023Q4,2023,Q4,2680,I,1145,I,1450,I,123,I,46,I,136,I
2024Q1,2024,Q1,2425,I,890,I,1335,I,148,I,40,I,72,I
2024Q2,2024,Q2,2735,I,925,I,1485,I,170,I,40,I,120,I
2024Q3,2024,Q3,3050,I,950,I,1640,I,195,I,40,I,180,I
2024Q4,2024,Q4,3795,I,975,I,2025,I,242,I,40,I,383,I
2025Q1,2025,Q1,2845,I,985,I,1335,I,90,R,38,I,102,I
2025Q2,2025,Q2,3170,I,1015,I,1485,I,100,R,38,I,97,I
2025Q3,2025,Q3,3275,E,1005,E,1525,E,105,E,36,E,329,E
2025Q4,2025,Q4,3545,E,1015,E,1655,E,115,E,36,E,459,E
2026Q1,2026,Q1,4285.471,R,,,1711.461,R,,,,,,
