Period_ID,Year,Quarter,Period_Type,CAC_Proxy_GHS,CAC_Flag,Network_Utilization_Pct,NetUtil_Flag,Data_Session_Failure_Pct,DSF_Flag,MoMo_Trans_Per_User_Monthly,MoMoTrans_Flag,SIM_Activation_Index,SIM_Flag,Working_Capital_Days,WC_Flag,Receivables_Days,Recv_Flag,Cedi_USD_Rate_Avg,FX_Flag,Inflation_YoY_Pct,Infl_Flag,Policy_Rate_Pct,Rate_Flag
2020Q1,2020,Q1,Quarter,42,P,58,P,3.5,P,18,P,100,P,28,E,32,E,5.65,R,7.8,R,16,R
2020Q4,2020,Q4,Quarter,45,P,62,P,3.2,P,22,P,108,P,30,E,34,E,5.8,R,10.4,R,14.5,R
2021Q2,2021,Q2,Quarter,48,P,65,P,3,P,26,P,115,P,29,E,33,E,5.95,R,7.8,R,13.5,R
2021Q4,2021,Q4,Quarter,52,P,68,P,2.8,P,30,P,122,P,31,E,35,E,6.1,R,12.6,R,14.5,R
2022Q2,2022,Q2,Quarter,58,P,71,P,2.7,P,34,P,128,P,33,E,38,E,8.45,R,29.8,R,19,R
2022Q4,2022,Q4,Quarter,68,P,73,P,2.9,P,38,P,132,P,38,E,42,E,12.85,R,54.1,R,27,R
2023Q2,2023,Q2,Quarter,72,P,74,P,2.6,P,42,P,135,P,36,E,40,E,11.2,R,42.5,R,29.5,R
2023Q4,2023,Q4,Quarter,75,P,76,P,2.4,P,46,P,138,P,34,E,38,E,11.85,R,23.2,R,30,R
2024Q2,2024,Q2,Quarter,78,P,78,P,2.3,P,52,P,142,P,33,E,36,E,14.65,R,22.8,R,29,R
2024Q4,2024,Q4,Quarter,82,P,80,P,2.2,P,58,P,148,P,32,E,35,E,14.95,R,23.8,R,27,R
2025Q1,2025,Q1,Quarter,78,P,79,P,2,P,62,P,155,P,30,E,33,E,14.5,R,23.5,R,27,R
2025Q2,2025,Q2,Quarter,75,P,80,P,1.9,P,68,P,162,P,28,E,31,E,12.2,R,13.7,R,21.5,R
2025Q3,2025,Q3,Quarter,72,P,81,P,1.8,P,72,P,168,P,26,E,29,E,10.85,R,9.2,R,18,R
2025Q4,2025,Q4,Quarter,70,P,82,P,1.7,P,76,P,174,P,25,E,28,E,8.85,R,5.4,R,16,R
