Scenario ID,Name,Type,Severity Multiplier,Trigger Phrase(s),Cedi/USD shock (%),Inflation shock (pp),Policy rate shock (bps),GDP shock (pp),Service Revenue (% chg),EBITDA margin (bps chg),ARPU USD (% chg),MoMo Revenue (% chg),Subscribers (% chg),Net debt/EBITDA (x chg),Pillar
S02,Inflation resurgence to 25%,Stress,1.0,CPI hits 25% due to fiscal slippage,5.0,20.0,300.0,-1.0,-4.0,-120.0,5.0,2.0,-1.0,0.5,Macro & FX
S03,MoMo e-levy increase to 1.5%,Stress,1.0,Govt raises e-levy from 1% to 1.5%,0.0,0.0,0.0,0.0,-2.0,-50.0,0.0,-25.0,-15.0,0.2,Regulatory
S04,Sovereign debt freeze,Stress,1.0,"IMF programme stalls, donors cut aid",15.0,10.0,500.0,-2.5,-6.0,-180.0,-3.0,-8.0,-2.0,0.8,Regulatory
S05,ECG tariff +40%,Stress,1.0,Power utility raises tariffs 40%,0.0,3.0,0.0,0.0,-0.5,-20.0,0.0,-1.0,-0.2,0.03,Operational
S06,Major cyber breach - 5-day MoMo outage,Shock,1.0,Ransomware locks MoMo platform for 5 days,0.0,0.0,0.0,0.0,-1.5,-60.0,0.0,-12.0,-3.0,0.1,Technology
S07,Spectrum dispute - 4G degradation,Shock,1.0,"Regulator forces spectrum reallocation, 4G speeds drop",0.0,0.0,0.0,0.0,-6.0,-150.0,-4.0,-2.0,-1.5,0.25,Technology
S08,Major flood - 300+ sites down,Shock,1.0,Heavy rains damage 300 cell sites across south,0.0,0.0,0.0,-0.5,-2.0,-80.0,-1.0,-1.0,-0.5,0.07,Operational
S09,Mass data privacy breach,Shock,1.0,Customer data of 5M users leaked online,0.0,0.0,0.0,0.0,-1.0,-50.0,-1.0,-5.0,-2.0,0.05,Technology
S10,Competitive intensification (ARPU pressure),Shock,1.0,Price war cuts data tariffs 30% across market,0.0,0.0,0.0,0.0,-6.0,-120.0,-12.0,-6.0,-2.5,0.1,Competitive
S11,Ghana macro reversal,Combined,1.0,"IMF suspension, cedi collapse, inflation spike",20.0,15.0,800.0,-3.0,-12.0,-250.0,-8.0,-5.0,-3.0,0.8,Combined
S12,Fintech disruption + regulatory pressure,Combined,1.0,Bank-led wallets capture MoMo share + e-levy hike,0.0,0.0,0.0,0.0,-4.0,-150.0,-2.0,-30.0,-8.0,0.3,Combined
S13,Network crisis + climate compound,Combined,1.0,Major outage + flooding + diesel shortage,0.0,8.0,0.0,-1.5,-6.0,-200.0,-3.0,-10.0,-4.0,0.25,Combined
S14,Reverse-FY25 - all tailwinds vanish,Combined,1.0,"Cedi weakens, inflation rises, regulatory crackdown",15.0,12.0,400.0,-2.0,-5.0,-300.0,-8.0,-5.0,-2.0,0.5,Combined
S15,Cedi devaluation -40% (severe),Stress,1.0,"Cedi plummets 40% in 3 months, BoG intervenes",40.0,8.0,600.0,-2.0,-14.0,-400.0,-25.0,3.0,-3.0,1.2,Macro & FX
