Scenario_ID,Type,Scenario_Name,Description,KPI_ID,Impact_Type,Impact_Value,Plausibility,Severity,Recovery_Qtrs,Mitigation_Lever,Calibration_Source
S02,Stress,Inflation resurgence to 25%,CPI hits 25% due to fiscal slippage,FIN03,delta,-3.0,3,3,2,Cost optimisation,FY22 inflation impact
S02,Stress,Inflation resurgence to 25%,CPI hits 25% due to fiscal slippage,FIN01,pct,-4.0,3,3,2,Cost optimisation,FY22 inflation impact
S02,Stress,Inflation resurgence to 25%,CPI hits 25% due to fiscal slippage,Opex,delta,18.0,3,3,2,Cost optimisation,operating leverage
S03,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,SEG03,pct,-25.0,3,4,2,Pricing strategy,Q2 2022 e-levy impact
S03,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,OPS01,pct,-15.0,3,4,2,Pricing strategy,user decline observed
S03,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,FIN01,pct,-2.0,3,4,2,Pricing strategy,indirect revenue loss
S04,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",Dividend,abs,-50.0,2,4,6,Repatriation planning,FY22 dividend freeze
S04,Stress,Sovereign debt freeze,"IMF programme stalls, donors cut aid",WorkingCapital,delta,15.0,2,4,6,Repatriation planning,FY22 working capital impact
S05,Stress,ECG tariff +40%,Power utility raises tariffs 40%,Opex,pct,12.0,3,3,1,Energy efficiency,FY23 tariff hike
S05,Stress,ECG tariff +40%,Power utility raises tariffs 40%,FIN03,delta,-2.0,3,3,1,Energy efficiency,pass-through cost
S06,Shock,Major cyber breach - 5-day MoMo outage,Ransomware locks MoMo platform for 5 days,SEG03,pct,-12.0,2,5,3,Cyber resilience,industry benchmark
S06,Shock,Major cyber breach - 5-day MoMo outage,Ransomware locks MoMo platform for 5 days,FIN02,pct,-3.0,2,5,3,Cyber resilience,revenue loss + fines
S06,Shock,Major cyber breach - 5-day MoMo outage,Ransomware locks MoMo platform for 5 days,Reputation,delta,-2.0,2,5,3,Cyber resilience,qualitative
S07,Shock,Spectrum dispute - 4G degradation,"Regulator forces spectrum reallocation, 4G speeds drop",FIN01,pct,-8.0,2,4,2,Litigation & lobbying,MTN Nigeria precedent
S07,Shock,Spectrum dispute - 4G degradation,"Regulator forces spectrum reallocation, 4G speeds drop",OPS07,delta,-2.5,2,4,2,Litigation & lobbying,coverage reduction
S07,Shock,Spectrum dispute - 4G degradation,"Regulator forces spectrum reallocation, 4G speeds drop",DataUsage,pct,-15.0,2,4,2,Litigation & lobbying,user experience decline
S08,Shock,Major flood - 300+ sites down,Heavy rains damage 300 cell sites across south,FIN01,pct,-2.0,2,3,2,Disaster recovery,FY21 flooding impact
