Period_ID,Year,Quarter,Period_Type,Service_Revenue,Service_Revenue_Flag,Total_Revenue,Total_Revenue_Flag,EBITDA,EBITDA_Flag,EBITDA_Margin_Pct,EBITDA_Margin_Flag,PAT,PAT_Flag,PAT_Margin_Pct,PAT_Margin_Flag,Opex,Opex_Flag,Capex,Capex_Flag,EPS_GHS,EPS_Flag
2020Q1,2020,Q1,Quarter,1450,I,1490,I,790,I,53,I,310,I,20.8,I,700,I,310,I,0.0235,I
2020Q2,2020,Q2,Quarter,1520,I,1560,I,825,I,52.9,I,335,I,21.5,I,735,I,330,I,0.0254,I
2020Q3,2020,Q3,Quarter,1635,I,1680,I,895,I,53.3,I,375,I,22.3,I,785,I,360,I,0.0285,I
2020Q4,2020,Q4,Quarter,1825,I,1875,I,1010,I,53.9,I,440,I,23.5,I,865,I,410,I,0.0334,I
2021Q1,2021,Q1,Quarter,1985,I,2035,I,1095,I,53.8,I,490,I,24.1,I,940,I,425,I,0.0372,I
2021Q2,2021,Q2,Quarter,2150,I,2200,I,1185,I,53.9,I,535,I,24.3,I,1015,I,460,I,0.0406,I
2021Q3,2021,Q3,Quarter,2290,I,2345,I,1265,I,53.9,I,580,I,24.7,I,1080,I,495,I,0.044,I
2021Q4,2021,Q4,Quarter,2575,I,2640,I,1455,I,54.7,I,675,I,25.6,I,1185,I,580,I,0.0512,I
2022Q1,2022,Q1,Quarter,2825,I,2890,I,1605,I,55.5,I,755,I,26.1,I,1285,I,550,I,0.0573,I
2022Q2,2022,Q2,Quarter,3050,I,3120,I,1740,I,55.8,I,825,I,26.4,I,1380,I,605,I,0.0626,I
2022Q3,2022,Q3,Quarter,3320,I,3395,I,1895,I,55.8,I,910,I,26.8,I,1500,I,675,I,0.069,I
2022Q4,2022,Q4,Quarter,3805,I,3895,I,2160,I,55.7,I,1075,I,27.6,I,1745,I,800,I,0.0816,I
2023Q1,2023,Q1,Quarter,3725,I,3815,I,2090,I,55.7,I,1020,I,26.7,I,1735,I,675,I,0.0774,I
2023Q2,2023,Q2,Quarter,4075,I,4170,I,2305,I,55.7,I,1135,I,27.2,I,1865,I,755,I,0.0861,I
2023Q3,2023,Q3,Quarter,4520,I,4625,I,2570,I,55.6,I,1280,I,27.7,I,2055,I,855,I,0.0972,I
2023Q4,2023,Q4,Quarter,5580,I,5710,I,3185,I,55.8,I,1565,I,27.4,I,2525,I,1115,I,0.1188,I
2024Q1,2024,Q1,Quarter,4910,I,5020,I,2780,I,55.7,I,1395,I,27.8,I,2240,I,995,I,0.1059,I
2024Q2,2024,Q2,Quarter,5475,I,5605,I,3115,I,55.5,I,1565,I,27.9,I,2490,I,1115,I,0.1188,I
2024Q3,2024,Q3,Quarter,6055,I,6195,I,3450,I,55.7,I,1735,I,28,I,2745,I,1240,I,0.1317,I
2024Q4,2024,Q4,Quarter,7460,I,7630,I,4255,I,55.8,I,2150,I,28.2,I,3375,I,1530,I,0.1632,I
2025Q1,2025,Q1,Quarter,5395,I,5520,I,3145,I,57,I,1690,I,30.6,I,2350,I,1185,I,0.1283,R
2025Q2,2025,Q2,Quarter,5905,I,6045,I,3455,I,57.2,I,1910,I,31.6,I,2590,I,1295,I,0.145,R
2025Q3,2025,Q3,Quarter,6275,E,6420,E,3780,E,60.2,E,2010,E,31.3,E,2495,E,1370,E,0.1525,E
2025Q4,2025,Q4,Quarter,6825,E,6985,E,4315,E,63.2,E,2190,E,32.1,E,2510,E,1495,E,0.1665,E
2026Q1,2026,Q1,Quarter,7257.927,R,,,4452.758,R,61.2,R,2479.402,R,34.1,E,,,,,,
