Scenario ID,Type,Scenario Name,Description,KPI ID,Impact Type,Impact Value,Plausibility,Severity,Recovery Qtrs,Mitigation Lever,Calibration Source,Applied_Severity_Mult
S37_v1.0_1,Stress,AI-driven MoMo fraud surge +500%,AI fraud attacks cause massive MoMo losses,FraudLosses,abs,275.4904,3,4,2,AI fraud detection,Kenya fraud trend,1.0
S22_v1.5_1,Stress,Oil price spike - pass-through inflation,"Crude oil +50%, diesel +80%",GeneratorOpex,pct,41.3564,3,3,1,Energy transition,site costs,1.5
S18_v0.5_2,Stress,Ghana sovereign downgrade to junk,"Moody's cuts Ghana to Caa1, foreign debt frozen",FXRepatriation,delta,0.5301,2,4,6,Onshore reinvestment,FY22 freeze,0.5
S32_v0.5_2,Combined,Regulatory storm (spectrum + e-levy + tariff cap),Three major regulatory hits simultaneously,FIN03,delta,-2.7378,2,5,6,Unified response (enhanced),margin crash,0.5
S21_v1.0_1,Stress,Cocoa/commodity crash - fiscal squeeze,"Cocoa prices fall 40%, export revenues drop",GDP,delta,-2.1211,3,3,2,FX hedging (enhanced),FY23 cocoa shock,1.0
S14_v1.0_2,Combined,Reverse-FY25 - all tailwinds vanish,"Cedi weakens, inflation rises, regulatory crackdown",Opex,pct,21.9805,3,5,4,Base case review,cost pressure,1.0
S31_v0.5_2,Stress,Data Protection Act fine - major enforcement,DPC fines MTN GHS 500m for data breach,ComplianceOpex,abs,111.2748,3,3,2,Data compliance,remediation cost,0.5
S40_v1.0_1,Stress,Telecel aggressive bundle reset,Telecel launches low‑price voice+data bundle,OPS04,pct,-7.359,4,3,2,Value proposition,competitor analysis,1.0
S30_v0.5_1,Shock,SIM re-registration 2.0 - 6-month disruption,"Mandatory new SIM registration, 6‑month process",MoMoUsers,pct,-5.3753,3,4,6,Stakeholder engagement,fintech impact,0.5
S75_v0.5_1,Stress,Minor cyber breach - limited data,Small leak of non‑sensitive data,Reputation,delta,-0.2393,4,2,1,Cyber hygiene (enhanced),low impact,0.5
S37_v1.5_2,Stress,AI-driven MoMo fraud surge +500%,AI fraud attacks cause massive MoMo losses,FraudLosses,abs,481.4085,3,4,2,AI fraud detection,Kenya fraud trend,1.5
S51_v1.5_2,Stress,Labour dispute - extended strike,Union strikes for 4 weeks over pay,Opex,abs,206.7344,2,3,2,Employee relations,FY21 strike cost,1.5
S09_v1.0_2,Shock,Mass data privacy breach,Customer data of 5M users leaked online,Reputation,delta,-2.8436,2,4,4,Data governance,GDPR analogue,1.0
S16_v1.5_2,Stress,Hyperinflation return - 50%+,"Inflation exceeds 50%, currency crisis deepens",Opex,pct,51.5719,2,5,6,Cost pass-through (enhanced),FY22 extreme,1.5
S28_v1.0_1,Stress,BoG MoMo interoperability mandate,Compulsory low‑cost interoperability with banks,FeeYield,pct,-30.6145,4,4,2,Fintech platform,revenue erosion,1.0
S30_v1.0_2,Shock,SIM re-registration 2.0 - 6-month disruption,"Mandatory new SIM registration, 6‑month process",ActiveSubs,pct,-8.3908,3,4,6,Stakeholder engagement,Nigeria SIM registration,1.0
S57_v1.5_1,Stress,Cedi devaluation -15% (mild),Cedi weakens 15% gradually,OPS04,pct,-11.6902,3,2,2,Tariff repricing,ARPU effect,1.5
S22_v0.5_2,Stress,Oil price spike - pass-through inflation,"Crude oil +50%, diesel +80%",DieselCost,pct,20.7543,3,3,1,Energy transition,FY22 fuel price,0.5
S90_v1.5_2,Upside,ECG prepaid metering for sites,Better power management reduces diesel use,DieselCost,pct,-7.1445,4,2,2,Energy efficiency,ongoing saving,1.5
S53_v1.5_2,Upside,MoMo lending / micro-insurance breakthrough,"MoMo lending scales 5x, insurance attach rate 20%",SEG03,pct,46.9088,3,4,4,Fintech growth (enhanced),industry opportunity,1.5
S19_v1.0_2,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,FIN03,delta,2.9011,3,3,2,Shareholder returns,FY25 tailwind,1.0
S60_v1.0_1,Stress,Inflation 35% (severe),CPI hits 35% after currency crisis,FIN03,delta,-5.1012,2,5,3,Price elasticity,FY22 extreme,1.0
S51_v1.5_1,Stress,Labour dispute - extended strike,Union strikes for 4 weeks over pay,CustomerService,delta,-0.6304,2,3,2,Employee relations,NPS decline,1.5
S12_v0.5_1,Combined,Fintech disruption + regulatory pressure,Bank-led wallets capture MoMo share + e-levy hike,SEG03,pct,-16.3897,3,4,4,Fintech strategy (enhanced),industry analysis,0.5
S46_v1.0_2,Stress,Starlink Ghana rural expansion,Starlink launches low‑cost rural satellite broadband,RuralDataSubs,pct,-5.1814,3,3,2,Satellite partnership,competitive threat,1.0
S37_v1.0_2,Stress,AI-driven MoMo fraud surge +500%,AI fraud attacks cause massive MoMo losses,MoMoUsers,pct,-7.5572,3,4,2,AI fraud detection,trust erosion,1.0
S43_v1.0_1,Stress,Price war - all operators cut data 40%,"Industry‑wide data price war, 40% cuts",FIN03,delta,-3.5019,3,4,2,Cost leadership,EBITDA margin,1.0
S13_v1.5_2,Combined,Network crisis + climate compound,Major outage + flooding + diesel shortage,OPS07,delta,-4.6446,2,5,6,Resilience investment (enhanced),coverage loss,1.5
S66_v0.5_1,Stress,Tariff floor removal only,"Price floor removed, moderate competition",FIN01,pct,-2.0698,3,3,2,Value stacking,Kenya analogue,0.5
S49_v0.5_2,Stress,Tower equipment supply chain disruption,Huawei sanctions delay tower equipment 6 months,CapexEfficiency,pct,-14.7304,3,3,2,Supplier diversification,global chip shortage,0.5
S12_v0.5_2,Combined,Fintech disruption + regulatory pressure,Bank-led wallets capture MoMo share + e-levy hike,FIN02,pct,-2.626,3,4,4,Fintech strategy,earnings impact,0.5
S17_v1.0_1,Stress,BoG emergency rate hike to 35%,MPC hikes policy rate to 35% in emergency meeting,CapexFinancing,pct,40.2476,2,4,2,Refinancing,FY22 rate spike,1.0
S07_v1.5_2,Shock,Spectrum dispute - 4G degradation,"Regulator forces spectrum reallocation, 4G speeds drop",FIN01,pct,-13.3954,2,4,2,Litigation & lobbying,MTN Nigeria precedent,1.5
S47_v1.5_1,Stress,ECG load-shedding Stage 6 - 6 months,"Daily 8‑hour power cuts, diesel costs quadruple",DieselOpex,abs,1294.2495,3,4,4,Alternative power,2024 load-shedding,1.5
S80_v0.5_1,Stress,Free MoMo transaction period,Govt mandates 6 months zero fees,SEG03,pct,-5.0302,4,3,2,Fintech reprieve,waiver impact,0.5
S15_v1.0_2,Stress,Cedi devaluation -40% (severe),"Cedi plummets 40% in 3 months, BoG intervenes",FIN01,pct,-14.5762,2,5,4,Emergency tariff repricing,FY22 0.32 elasticity compounded,1.0
S39_v0.5_1,Stress,Network sharing collapse - Telecel dispute,"Telecel ends tower sharing, MTN must build own",Capex,abs,276.7926,3,3,3,Infrastructure investment,coverage gap,0.5
S06_v1.5_1,Shock,Major cyber breach - 5-day MoMo outage,Ransomware locks MoMo platform for 5 days,SEG03,pct,-18.3742,2,5,3,Cyber resilience,industry benchmark,1.5
S03_v1.0_2,Stress,MoMo e-levy increase to 1.5%,Govt raises e-levy from 1% to 1.5%,OPS01,pct,-14.3979,3,4,2,Pricing strategy (enhanced),user decline observed,1.0
S53_v1.5_1,Upside,MoMo lending / micro-insurance breakthrough,"MoMo lending scales 5x, insurance attach rate 20%",SEG03,pct,49.1988,3,4,4,Fintech growth,industry opportunity,1.5
S23_v1.0_2,Shock,BoG FX intervention failure - disorderly devaluation,"Cedi hits 18 GHS/USD, BoG runs out of reserves",USDPayables,pct,22.7869,2,5,6,Hard currency reserves (enhanced),liquidity crisis,1.0
S18_v1.0_1,Stress,Ghana sovereign downgrade to junk,"Moody's cuts Ghana to Caa1, foreign debt frozen",FXRepatriation,delta,0.947,2,4,6,Onshore reinvestment,FY22 freeze,1.0
S54_v1.0_1,Upside,Ghana GDP 8%+ super-cycle,"Oil & mining boom, GDP growth >8%",OPS01,pct,4.93,2,3,2,Macro hedging,historical boom,1.0
S19_v0.5_1,Upside,Cedi appreciation +30%,Cedi strengthens 30% on oil windfall,FIN01,pct,5.2119,3,3,2,Shareholder returns,FY25 tailwind,0.5
S02_v0.5_2,Stress,Inflation resurgence to 25%,CPI hits 25% due to fiscal slippage,FIN01,pct,-1.9384,3,3,2,Cost optimisation (enhanced),FY22 inflation impact,0.5
S28_v1.5_1,Stress,BoG MoMo interoperability mandate,Compulsory low‑cost interoperability with banks,SEG03,pct,-22.8525,4,4,2,Fintech platform,Tanzania analogue,1.5
S62_v1.0_2,Stress,Ghana GDP growth 0% (stagnation),"No growth, high unemployment",FIN01,pct,-1.969,3,3,2,Cost rationalisation,macro drag,1.0
S80_v0.5_2,Stress,Free MoMo transaction period,Govt mandates 6 months zero fees,SEG03,pct,-4.3592,4,3,2,Fintech reprieve,waiver impact,0.5
S21_v1.5_2,Stress,Cocoa/commodity crash - fiscal squeeze,"Cocoa prices fall 40%, export revenues drop",MoMoVolumes,pct,-12.6967,3,3,2,FX hedging (enhanced),transaction value,1.5
S20_v0.5_1,Stress,IMF conditionality tightening,"IMF demands higher tariffs, spending cuts",ConsumerSpending,pct,-2.4081,3,3,3,Strategic planning,disposable income,0.5
S37_v0.5_2,Stress,AI-driven MoMo fraud surge +500%,AI fraud attacks cause massive MoMo losses,MoMoUsers,pct,-3.9683,3,4,2,AI fraud detection,trust erosion,0.5
S30_v1.0_1,Shock,SIM re-registration 2.0 - 6-month disruption,"Mandatory new SIM registration, 6‑month process",MoMoUsers,pct,-9.6524,3,4,6,Stakeholder engagement,fintech impact,1.0
S56_v0.5_1,Combined,Perfect storm (macro+cyber+regulatory+climate),Worst‑case combined event,FIN01,pct,-13.0415,1,5,8,Comprehensive resilience (enhanced),extreme tail,0.5
S49_v1.5_2,Stress,Tower equipment supply chain disruption,Huawei sanctions delay tower equipment 6 months,RolloutDelay,delta,2.8409,3,3,2,Supplier diversification,quarters,1.5
S32_v0.5_2,Combined,Regulatory storm (spectrum + e-levy + tariff cap),Three major regulatory hits simultaneously,Capex,pct,11.4367,2,5,6,Unified response (enhanced),forced investment,0.5
S39_v1.0_1,Stress,Network sharing collapse - Telecel dispute,"Telecel ends tower sharing, MTN must build own",Capex,abs,599.8271,3,3,3,Infrastructure investment,coverage gap,1.0
S77_v0.5_2,Upside,FX hedging gain (unexpected),Cedi weakens but MTN had hedged,FIN03,delta,0.2286,4,2,1,Hedging strategy,windfall,0.5
